"","tweet","full_text","retweet_count","favorite_count","lang","word_count","bingNeg","bingPos","bingWords","bing","loughNeg","loughPos","loughWords","lough","nrcNeg","nrcPos","nrcWords","nrc","bingRatio","loughRatio","nrcRatio"
"1",1,"RT @lifewithsommer: Big news! Two Finnish nature organisations @luonnonsuojelu and @GreenpeaceSuomi are taking the Finnish government to co…",186,0,"en",18,0,0,0,5.55555554938272e-10,0,0,0,5.55555554938272e-10,1,0,1,5.55555554938272e-10,0,0,0.0555555555555556
"2",2,"RT @auroramalet: We are suing the Swedish state, because climate action is a legal duty.

#Aurora #ClimateTrials #UprootTheSystem https://t…",363,0,"en",20,0,0,0,4.999999995e-10,1,0,1,4.999999995e-10,0,2,2,0.1000000004,0,0.05,0.1
"3",4,"School strike week 223. Today we are 636 young people in @auroramalet who are suing the Swedish state for insufficient climate action. Therefore we now marched from the parliament to the court.

#FridaysForFuture #ClimateStrike #Aurora #ClimateTrials #UprootTheSystem @auroramalet https://t.co/gatAMGPzcp",1244,5074,"en",41,2,0,2,2.43902438905413e-10,2,0,2,2.43902438905413e-10,2,1,3,0.0243902441344438,0.0487804878048781,0.0487804878048781,0.0731707317073171
"4",5,"Today on Black Friday is the perfect day to sue the state over its insufficient climate policies.

So that’s what we did.

See you in court!
 
#Aurora #ClimateTrials #UprootTheSystem",1899,12457,"en",29,2,1,3,0.034482758941736,2,1,3,0.034482758941736,2,1,3,0.034482758941736,0.103448275862069,0.103448275862069,0.103448275862069
"5",7,"We are 636 young people in @auroramalet who are suing the Swedish state for insufficient climate action.

”When the state carries out climate policy that threatens our human rights, it breaks the law.”

#aurora #ClimateTrials #UprootTheSystem
https://t.co/6qbZUO2hrE",1778,7550,"en",39,2,0,2,2.56410256278764e-10,4,0,4,2.56410256278764e-10,1,1,2,0.0256410258842867,0.0512820512820513,0.102564102564103,0.0512820512820513
"6",9,"RT @robintransition: The UN said a couple of weeks ago staying below 1.5 degrees is now impossible unless we see ""a radical transformation…",2487,0,"en",23,2,0,2,4.3478260831758e-10,1,0,1,4.3478260831758e-10,1,0,1,4.3478260831758e-10,0.0869565217391304,0.0434782608695652,0.0434782608695652
"7",10,"RT @lizwathuti: We must not loose sight of nature’s role in tackling the climate crisis.

Right now, we’re perpetuating an ecocidal economi…",394,0,"en",22,2,1,3,0.0454545458677686,1,0,1,4.54545454132231e-10,1,0,1,4.54545454132231e-10,0.136363636363636,0.0454545454545455,0.0454545454545455
"8",11,"2/2 Everyone can help and donate money to Jåhkågaska Sami community's fight to prevent the exploitations on their lands! All donations, big or small, are welcome and needed. #DefendTheDefenders
Find out more about this and how to donate here:
https://t.co/Yde5a6d4XO https://t.co/yffFfnMlCp",294,1073,"en",46,0,1,1,0.0217391306427221,1,0,1,2.17391304253308e-10,2,1,3,0.0217391306427221,0.0217391304347826,0.0217391304347826,0.0652173913043478
"9",12,"For the last 12 years the Jåhkågaska Sami community has been defending its grazing lands by resisting this iron-ore mine. By doing so they have been safeguarding what keeps us all safe: biodiverse forests, intact carbon stock, clean water and air. 1/2
https://t.co/ksea20htbw",1168,4613,"en",47,0,2,2,0.0425531916840199,1,0,1,2.1276595735627e-10,1,6,7,0.127659574626528,0.0425531914893617,0.0212765957446809,0.148936170212766
"10",13,"RT @LBurnelius: The Swedish government showing its true colours in this note sent to the EU regarding the Deforestation Regulation! Sweden…",259,0,"en",21,0,0,0,4.76190475736961e-10,0,0,0,4.76190475736961e-10,1,1,2,0.0476190480498866,0,0,0.0952380952380952
"11",14,"Without any binding commitments to rapidly and immediately reduce greenhouse gases, the world stands no chance to deliver on the 1,5°C limit, and by doing so minimising risks of uprooting the life supporting systems we all depend on and endangering countless human lives.
#COP27",3870,13537,"en",45,2,1,3,0.0222222224345679,1,0,1,2.22222222123457e-10,1,2,3,0.0444444446469136,0.0666666666666667,0.0222222222222222,0.0666666666666667
